Высота	2180
Ширина	352
Глубина	352
Вес (кг)	22
Тип мебели	Шкаф стеллаж
Функциональное назначение	для различных аксессуаров
Форма	угловой
Модель	Дисней
Страна	Украина
Угол поворота	Универсальный
Расположение	приставной
Цвет основной	Дуб/Светлый/Светлый
Материал основной	ЛДСП
Материал корпуса	ЛДСП
Цвет корпуса	Дуб/Светлый/Светлый
Отделка основная	Нет
Доп. аксессуары	Нет
Вид открывания дверей	Нет
Количество полок	6
Вид полки	стационарная
Материал полки	ЛДСП
Вид штанги	Нет
Вид карниза	Стационарный
Вид ножек	Отсутствуют
